,city,country,latitude,temperature,humidity,cloudiness,windSpeed
0,tuktoyaktuk,ca,69.44,41.0,86.0,90.0,10.29
1,taolanaro,mg,,,,,
2,saint-philippe,re,-21.36,65.12,56.0,0.0,10.29
3,ponta do sol,cv,17.2,74.35,100.0,88.0,6.96
4,port hardy,ca,50.7,71.6,56.0,20.0,9.17
5,avarua,ck,-21.21,75.2,69.0,75.0,13.87
6,punta arenas,cl,-53.16,41.0,86.0,75.0,18.34
7,tongren,cn,27.72,86.22,77.0,8.0,3.71
8,kaitangata,nz,-46.28,50.27,92.0,80.0,3.94
9,axim,gh,4.87,76.86,99.0,80.0,13.0
10,sataua,ws,,,,,
11,kavaratti,in,10.57,82.54,96.0,92.0,20.94
12,bambous virieux,mu,-20.34,64.4,88.0,40.0,3.36
13,vanderhoof,ca,54.02,76.6,38.0,8.0,5.73
14,saint anthony,ca,,,,,
15,busselton,au,-33.64,54.05,100.0,92.0,22.73
16,ostrovnoy,ru,68.05,50.63,76.0,20.0,7.4
17,louisbourg,ca,,,,,
18,illoqqortoormiut,gl,,,,,
19,kirakira,sb,-10.46,77.05,100.0,92.0,8.41
20,alice springs,au,-23.7,69.8,16.0,0.0,11.41
21,puerto ayora,ec,-0.74,70.39,100.0,0.0,11.88
22,kikwit,cd,-5.04,69.31,93.0,8.0,4.27
23,rikitea,pf,-23.12,74.12,100.0,36.0,11.21
24,vaini,to,-21.2,75.2,64.0,20.0,12.75
25,whitstable,gb,51.36,62.64,87.0,68.0,9.31
26,butaritari,ki,3.07,84.38,100.0,56.0,8.63
27,albany,au,-35.02,49.41,94.0,80.0,23.06
28,fallon,us,46.84,87.8,23.0,1.0,10.29
30,sovetsk,ru,55.08,68.31,75.0,12.0,11.21
31,ushuaia,ar,-54.81,39.2,64.0,75.0,25.28
32,seguin,us,29.57,90.34,46.0,1.0,18.34
34,cape town,za,-33.93,48.2,81.0,0.0,5.82
35,hinton,ca,53.4,73.13,37.0,0.0,4.16
36,sao filipe,cv,14.9,75.38,100.0,92.0,3.38
37,laguna,br,,,,,
38,mormugao,in,,,,,
40,oranjemund,na,-28.55,58.32,96.0,0.0,25.86
41,kamaishi,jp,39.28,87.8,62.0,40.0,9.17
42,dongsheng,cn,29.72,95.58,74.0,12.0,4.38
43,oudtshoorn,za,-33.59,41.0,93.0,0.0,4.7
44,castro,cl,-42.48,40.5,91.0,24.0,5.39
46,tumannyy,ru,,,,,
47,amderma,ru,,,,,
48,hermanus,za,-34.42,31.24,100.0,0.0,3.38
51,souillac,mu,-20.52,64.4,88.0,40.0,3.36
52,east london,za,-33.02,56.57,100.0,92.0,8.86
53,guerrero negro,mx,27.97,84.2,58.0,24.0,8.3
56,roald,no,62.58,58.33,82.0,12.0,20.8
57,camana,pe,,,,,
58,pingyi,cn,,,,,
61,fairlie,nz,,,,,
62,muisne,ec,0.61,73.62,90.0,88.0,3.94
63,namatanai,pg,-3.66,83.44,97.0,24.0,6.62
64,khatanga,ru,71.98,61.2,84.0,12.0,11.32
67,kapaa,us,22.08,84.2,66.0,20.0,20.8
69,bereda,so,,,,,
70,victoria,sc,-4.62,77.0,83.0,40.0,9.17
71,sistranda,no,63.73,59.0,93.0,75.0,6.93
74,broken hill,au,-31.97,64.9,58.0,0.0,12.77
75,saryshagan,kz,,,,,
77,barrow,us,39.51,75.15,94.0,1.0,2.93
79,sentyabrskiy,ru,,,,,
80,san policarpo,ph,12.18,87.75,83.0,44.0,12.44
82,acajutla,sv,13.59,84.96,79.0,40.0,4.7
83,hithadhoo,mv,-0.6,82.58,100.0,8.0,4.16
84,hobart,au,-42.88,55.4,50.0,75.0,17.22
87,ulaanbaatar,mn,47.92,66.2,63.0,20.0,4.05
88,barcelona,ve,10.14,77.0,100.0,40.0,7.63
89,kochkurovo,ru,54.03,52.97,79.0,12.0,7.96
92,la gaulette,mu,,,,,
93,ailigandi,pa,9.23,75.87,100.0,92.0,1.48
95,tasiilaq,gl,65.61,37.4,93.0,64.0,10.29
97,mar del plata,ar,-46.43,44.33,72.0,8.0,15.46
98,gamba,ga,-2.72,71.42,98.0,100.0,8.3
99,padang,id,-0.92,78.4,100.0,92.0,6.06
100,tiksi,ru,71.64,60.12,73.0,0.0,6.06
101,xining,cn,36.62,62.91,76.0,64.0,1.59
102,georgetown,sh,-7.93,76.69,100.0,64.0,18.7
103,puerto del rosario,es,28.5,71.6,83.0,0.0,16.11
104,bako,et,5.83,54.27,86.0,8.0,1.59
105,kodiak,us,39.95,82.4,65.0,1.0,4.7
106,longlac,ca,,,,,
107,attawapiskat,ca,,,,,
108,conceicao da barra,br,-18.59,73.98,97.0,68.0,7.4
109,artsvaberd,am,40.84,62.65,99.0,92.0,1.36
110,inhambane,mz,-23.87,70.47,91.0,88.0,14.0
111,bengkulu,id,,,,,
112,saldanha,za,-33.01,48.15,100.0,0.0,11.77
113,cidreira,br,-30.17,58.6,100.0,100.0,17.02
114,ust-nera,ru,64.57,56.97,52.0,24.0,2.37
115,lagoa,pt,37.14,69.8,73.0,0.0,11.41
116,marawi,sd,18.48,82.81,52.0,32.0,9.75
119,ahipara,nz,-35.17,58.1,83.0,32.0,11.65
120,fairbanks,us,64.84,59.04,58.0,90.0,4.7
121,finschhafen,pg,-6.6,78.66,80.0,24.0,3.83
122,taltal,cl,-25.41,52.43,80.0,0.0,3.38
123,pemangkat,id,,,,,
124,bambanglipuro,id,-7.95,80.87,68.0,76.0,4.94
125,tromso,no,69.65,53.6,71.0,90.0,8.05
126,saint-augustin,ca,45.63,70.97,88.0,90.0,3.36
127,vaitupu,wf,,,,,
129,arraial do cabo,br,-22.97,69.8,98.0,0.0,20.49
130,pauini,br,-7.71,76.28,89.0,8.0,2.26
132,airai,pw,,,,,
133,altay,cn,47.83,65.52,59.0,0.0,3.15
134,olafsvik,is,,,,,
137,geraldton,au,-28.77,57.2,87.0,75.0,23.04
138,saint george,bm,32.38,80.6,74.0,20.0,3.36
139,mataura,pf,,,,,
142,komsomolskiy,ru,67.55,50.27,100.0,100.0,12.77
143,westport,nz,-41.75,50.76,82.0,12.0,3.38
145,kavieng,pg,-2.57,83.07,100.0,48.0,3.6
146,atuona,pf,-9.8,79.83,99.0,92.0,17.02
147,meulaboh,id,4.14,80.15,100.0,44.0,1.25
148,almendralejo,es,38.68,61.88,81.0,0.0,7.63
151,lebu,cl,-37.62,51.31,100.0,64.0,7.74
153,guilin,cn,25.28,84.2,70.0,0.0,4.47
154,betioky,mg,,,,,
157,tura,ru,64.27,57.33,63.0,20.0,2.93
159,hasaki,jp,35.73,78.03,94.0,75.0,12.75
160,koboldo,ru,,,,,
163,sieradz,pl,51.6,68.0,88.0,0.0,2.24
164,jamestown,sh,-15.94,68.63,100.0,68.0,24.4
167,skjervoy,no,70.03,53.73,96.0,80.0,9.53
168,kelo,td,9.31,68.31,99.0,88.0,3.04
169,cayenne,gf,4.94,77.0,94.0,0.0,2.24
170,hambantota,lk,6.12,80.19,94.0,24.0,15.23
172,haines junction,ca,60.75,51.08,75.0,92.0,2.82
174,mount gambier,au,-37.83,55.44,87.0,8.0,10.2
177,kruisfontein,za,-34.0,47.26,100.0,80.0,3.6
179,goedereede,nl,51.82,62.56,60.0,12.0,14.99
181,novyy urengoy,ru,66.08,60.21,100.0,8.0,14.67
183,rio claro,br,-22.41,66.2,88.0,0.0,1.12
184,brae,gb,60.4,53.6,81.0,80.0,10.29
185,bredasdorp,za,-34.53,35.6,93.0,48.0,1.12
187,sao jose da coroa grande,br,-8.9,73.62,91.0,92.0,6.85
189,port elizabeth,za,-33.92,46.4,87.0,0.0,2.24
192,faanui,pf,-16.48,80.82,97.0,68.0,12.88
193,karratha,au,-20.74,78.85,24.0,0.0,7.74
197,qaanaaq,gl,77.48,33.53,100.0,68.0,4.05
198,rawannawi,ki,,,,,
199,ochando,ph,,,,,
200,barentsburg,sj,,,,,
201,wagar,sd,16.15,73.9,79.0,56.0,8.97
202,port alfred,za,-33.59,54.27,100.0,88.0,4.72
203,yellowknife,ca,62.45,68.0,64.0,90.0,8.05
204,husavik,is,66.04,42.8,93.0,90.0,6.93
205,pisco,pe,-13.71,62.6,82.0,90.0,1.12
208,lompoc,us,34.64,75.13,33.0,1.0,11.41
210,weihai,cn,37.5,82.13,100.0,0.0,13.67
211,nangomba,tz,-10.9,57.69,82.0,0.0,2.04
212,provideniya,ru,64.42,50.0,76.0,90.0,8.95
215,christchurch,nz,-43.53,59.0,58.0,0.0,3.36
216,vagur,fo,61.47,52.88,99.0,92.0,19.26
219,manono,cd,-7.3,66.38,71.0,0.0,2.59
221,ankola,in,14.67,72.23,100.0,88.0,4.38
223,yuncheng,cn,35.03,89.2,65.0,8.0,3.71
225,san patricio,mx,19.22,82.4,83.0,75.0,6.93
227,ormara,pk,25.21,79.47,95.0,56.0,0.69
234,paradwip,in,,,,,
237,caluquembe,ao,-13.78,47.93,84.0,44.0,2.48
238,cherskiy,ru,68.75,52.93,61.0,0.0,4.94
240,narsaq,gl,60.91,46.4,81.0,80.0,4.7
241,atar,mr,20.52,75.2,72.0,20.0,2.59
244,beberibe,br,-4.18,78.8,78.0,40.0,10.29
246,jyvaskyla,fi,,,,,
248,bluff,nz,-46.6,51.21,97.0,92.0,14.79
249,san lorenzo,ar,-24.73,53.1,57.0,0.0,2.24
251,comodoro rivadavia,ar,-45.87,50.0,57.0,0.0,13.87
256,sulecin,pl,52.44,68.0,94.0,24.0,2.24
